V16 14,Umezawa's Jitte,,0,0.0,0,0,0,14.00
V16 2,Cabal Ritual,,0,0.0,0,0,0,24.00
V16 15,Unmask,,0,0.0,0,0,0,5.00
V16 7,Memnarch,,0,0.0,0,0,0,5.00
V16 5,Glissa,,0,0.0,0,0,0,0
V16 3,Conflux,,0,0.0,0,0,0,3.00
V16 4,Dark Depths,,0,0.0,0,0,0,4.00
V16 11,Obliterate,,0,0.0,0,0,0,3.00
V16 16,Marit Lage Token,,0,0.0,0,0,0,3.00
V16 1,Beseech the Queen,,0,0.0,0,0,0,4.00
V16 13,Tolaria West,,0,0.0,0,0,0,1.50
V16 10,Near-Death Experience,,0,0.0,0,0,0,1.00
V16 8,Mind's Desire,,0,0.0,0,0,0,1.00
V16 12,Phyrexian Processor,,0,0.0,0,0,0,1.00
V16 9,Momir Vig,,0,0.0,0,0,0,0
V16 6,Helvault,,0,0.0,0,0,0,1.00
V16 5,Glissa,,0,0.0,0,0,0,0
V16 9,Momir Vig,,0,0.0,0,0,0,0
V16 5,"Glissa, the Traitor",,0,0.0,0,0,0,3.00
V16 9,"Momir Vig, Simic Visionary",,0,0.0,0,0,0,1.00
